folder,file,url
ugc,060000000991,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/1480140500312/file/0hRW1ro7F5QoO8yoMW14GxHLSdmn480pDOWNLOAD.mp4?st=RpaC_kvjj-QOzNsiHJcRlw&e=1530876000
ugc,060000000974,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/1480140500312/file/0iOhfXH13Boi2hiwJObfSHLSdmn480pDOWNLOAD.mp4?st=qmzMMl0IUvlBZjEX22mETA&e=1530876000
ugc,060000000987,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/1480140500312/file/0QVWYvihcCr5jsGjMYBwnHLSdmn480pDOWNLOAD.mp4?st=wxkQyGZCi5Cee92mq61XQw&e=1530876000
ugc,060000000954,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/1480140500312/file/1C4lHAlKZb7UxZczJVvfj2HLSdmn480pDOWNLOAD.mp4?st=j5wbDwnigSihmu46wnRk8w&e=1530876000
ugc,060000000951,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/1480140500312/file/1ywfeGrt748Iop68QZoXaHLSdmn480pDOWNLOAD.mp4?st=KDndskJuQ31-U7Pb2E8lOw&e=1530876000
ugc,060000000992,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/1480140500312/file/2QTVs1woVfEUOtUz5A0vHLSdmn480pDOWNLOAD.mp4?st=CXekFHiEEETr1DDufmM3uA&e=1530876000
ugc,060000000993,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/1480140500312/file/3PFfGVQd8RXJF2qYjUs9uHLSdmn480pDOWNLOAD.mp4?st=W_mt0FW_xqGSWElOYrh2kg&e=1530876000
ugc,060000000953,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/1480140500312/file/3wkMfOe5BcA9Af6JUQW67uHLSdmn480pDOWNLOAD.mp4?st=GzCQUqnyRuP2P6gqBT7g7g&e=1530876000
ugc,060000000938,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/266940812/file/2LA08Lehdb6HALVmOCsW6HLSdmn480pDOWNLOAD.mp4?st=9EmG2Ok-VZvFrqQAERBnRw&e=1530876000
ugc,060000000936,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/27497999/file/0lpeNSOB6mVH1oDzCUo50HLSdmn480pDOWNLOAD.mp4?st=pjx76wx5JVcj_Tkvveuvwg&e=1530876000
ugc,090000008459,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/27497999/file/0MNFbuanR2ubYLB8RdNkYiHLSdmn480pDOWNLOAD.mp4?st=ean7Jgz05fYIOnRE2PlAZw&e=1530876000
ugc,060000000964,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/27497999/file/1gTFqn5J1qXbS9vfV7Gy1HLSdmn480pDOWNLOAD.mp4?st=Tgz_Z3qFm_JZ8iz6rZN44g&e=1530876000
ugc,060000000936,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/27497999/file/1YLI0JbGxdqb7yDyKwtddHLSdmn480pDOWNLOAD.mp4?st=tunYL6CoHA8fh9CzEqEolw&e=1530876000
ugc,060000000936,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/27497999/file/2n7CNF9NcX85oczlJZnNxHLSdmn480pDOWNLOAD.mp4?st=iqM5A7KxsV2u1YJoGE-oQQ&e=1530876000
ugc,060000000936,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/27497999/file/2nSgnjv2Jcr8oTgahpvpzRHLSdmn480pDOWNLOAD.mp4?st=o6ZNEszlRYg-NfOM9WGo0g&e=1530876000
ugc,090000008277,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/27497999/file/2yaUoGqStbFFhs1kS1OD4OHLSdmn480pDOWNLOAD.mp4?st=Q1U85xzsgMu96XXe8RuHHw&e=1530876000
ugc,060000000936,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/27497999/file/3n2uQyArBc0rlrWGKHKJdMHLSdmn480pDOWNLOAD.mp4?st=n9A3dPzhoZUXhSbrD1NeZw&e=1530876000
ugc,060000000985,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/671767782/file/2lgycXr5571XmtLTBjJWclHLSdmn480pDOWNLOAD.mp4?st=jjJv6oc4PP675dSKbV7n7g&e=1530876000
ugc,060000000963,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/671767782/file/2yv3XxKaxe9a9fq9x2c1swHLSdmn480pDOWNLOAD.mp4?st=nizc_KGp6lMskZOPvFNGKg&e=1530876000
ugc,060000000888,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/96705495/file/0HwaNgt01dnXQJHjE5zyLpHLSdmn480pDOWNLOAD.mp4?st=YEoLPqnoLmgA8sw8c2Mopw&e=1530876000
ugc,060000000888,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/96705495/file/0MDC70XOVfTpR5MaEKzlHuHLSdmn480pDOWNLOAD.mp4?st=pVCslVe_4jWDHfuoNU9vew&e=1530876000
ugc,060000000888,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/96705495/file/0yCjyhabh8WFKfCtjvnqwHLSdmn480pDOWNLOAD.mp4?st=xiYN1pND-s1TEfX_0XmSFQ&e=1530876000
ugc,060000000888,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/96705495/file/1IQOLUoQdctGuqhX16ofvYHLSdmn480pDOWNLOAD.mp4?st=P4Fxj46iJZ8UCQnVcyzATQ&e=1530876000
ugc,060000000888,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/96705495/file/1msJhnNB1dHLyU0HhpZzgHLSdmn480pDOWNLOAD.mp4?st=ekWaL5UF7ZYWiTjnoY2VtQ&e=1530876000
ugc,060000000888,http://ugc.dls.migudm.cn/Client/ugc/ugcDest/20170313/96705495/file/2w0C0hgRJ58FphaOkFxmW2HLSdmn480pDOWNLOAD.mp4?st=6sKIeMZq7EKS_BFHWtSKCA&e=1530876000
